System Timestamp	Message	Message Type	GT_depth	World Gaze Point X	World Gaze Point Y	World Gaze Point Z	World Gaze Origin R X	World Gaze Origin R Z	World Gaze Origin L X	World Gaze Origin L Z	World Gaze Direction R X	World Gaze Direction R Y	World Gaze Direction R Z	World Gaze Direction L X	World Gaze Direction L Y	World Gaze Direction L Z	Estimated Depth
63817692369482	 sample	DepthCalibration	1.11875714560843	-0.01383827	0.04770367	4.232323	0.03037981	-0.026	-0.03245892	-0.026	-0.04318897	0.0007887745	0.9990666	0.03718341	0.02159532	0.9990751	4.49041066938973
63817692369495	 sample	DepthCalibration	1.12326790666263	-0.01332787	0.04582541	4.044992	0.03037981	-0.026	-0.03245892	-0.026	-0.04282972	0.0008540124	0.999082	0.03679824	0.02163853	0.9990884	4.47169853057314
63817692369496	 sample	DepthCalibration	1.12326790666263	-0.01332787	0.04582541	4.044992	0.03037981	-0.026	-0.03245892	-0.026	-0.04282972	0.0008540124	0.999082	0.03679824	0.02163853	0.9990884	4.47169853057314
63817692369663	 sample	DepthCalibration	1.17418300957516	-0.01585704	0.02638313	2.35995	0.03037981	-0.026	-0.03245892	-0.026	-0.03971913	0.002375454	0.999208	0.02730696	0.01972492	0.9994324	3.02366790054238
63817692369664	 sample	DepthCalibration	1.17418300957516	-0.01585704	0.02638313	2.35995	0.03037981	-0.026	-0.03245892	-0.026	-0.03971913	0.002375454	0.999208	0.02730696	0.01972492	0.9994324	3.02366790054238
63817692369683	 sample	DepthCalibration	1.18005395717427	-0.01302943	0.02210948	1.95791	0.03037981	-0.026	-0.03245892	-0.026	-0.03900053	0.00250593	0.999236	0.0269214	0.01976814	0.9994421	2.87534510941755
63817692369683	 sample	DepthCalibration	1.18005395717427	-0.01302943	0.02210948	1.95791	0.03037981	-0.026	-0.03245892	-0.026	-0.03900053	0.00250593	0.999236	0.0269214	0.01976814	0.9994421	2.87534510941755
63817692369700	 sample	DepthCalibration	1.18498923244494	-0.01926657	0.02612681	2.559469	0.03037981	-0.026	-0.03245892	-0.026	-0.04007839	0.002310218	0.9991938	0.02598801	0.01788711	0.9995022	4.86997024489186
63817692369700	 sample	DepthCalibration	1.18498923244494	-0.01926657	0.02612681	2.559469	0.03037981	-0.026	-0.03245892	-0.026	-0.04007839	0.002310218	0.9991938	0.02598801	0.01788711	0.9995022	4.86997024489186
63817692369858	 sample	DepthCalibration	1.23078202392275	-0.2895437	0.005405008	9.646088	0.03037981	-0.026	-0.03245892	-0.026	-0.0673414	-0.008383804	0.9976948	0.007755355	0.009500124	0.9999248	3.57825372257113
63817692369859	 sample	DepthCalibration	1.23078202392275	-0.2895437	0.005405008	9.646088	0.03037981	-0.026	-0.03245892	-0.026	-0.0673414	-0.008383804	0.9976948	0.007755355	0.009500124	0.9999248	3.57825372257113
63817692369878	 sample	DepthCalibration	1.23657084367977	-0.2933818	0.00547714	9.591918	0.03037981	-0.026	-0.03245892	-0.026	-0.0677	-0.008449033	0.9976699	0.0069818	0.009586611	0.9999297	3.57504520883479
63817692369879	 sample	DepthCalibration	1.23657084367977	-0.2933818	0.00547714	9.591918	0.03037981	-0.026	-0.03245892	-0.026	-0.0677	-0.008449033	0.9976699	0.0069818	0.009586611	0.9999297	3.57504520883479
63817692369896	 sample	DepthCalibration	1.2418260828299	-0.2971005	0.008134172	9.582123	0.03037981	-0.026	-0.03245892	-0.026	-0.06776163	-0.007981942	0.9976696	0.006208243	0.0096731	0.999934	3.57504520883479
63817692369897	 sample	DepthCalibration	1.2418260828299	-0.2971005	0.008134172	9.582123	0.03037981	-0.026	-0.03245892	-0.026	-0.06776163	-0.007981942	0.9976696	0.006208243	0.0096731	0.999934	3.57504520883479
63817692369902	 sample	DepthCalibration	1.24343943336645	-0.2990468	0.00562673	9.523248	0.03037981	-0.026	-0.03245892	-0.026	-0.06812019	-0.008047173	0.9976447	0.005780729	0.009224216	0.9999408	3.35433013735353
63817692369902	 sample	DepthCalibration	1.24343943336645	-0.2990468	0.00562673	9.523248	0.03037981	-0.026	-0.03245892	-0.026	-0.06812019	-0.008047173	0.9976447	0.005780729	0.009224216	0.9999408	3.35433013735353
63817692370069	 sample	DepthCalibration	1.28966873247723	-0.2499283	0.07083703	9.839446	0.03037981	-0.026	-0.03245892	-0.026	-0.06007395	0.0005907385	0.9981937	0.009666432	0.01375591	0.9998587	3.88817875864406
63817692370070	 sample	DepthCalibration	1.28966873247723	-0.2499283	0.07083703	9.839446	0.03037981	-0.026	-0.03245892	-0.026	-0.06007395	0.0005907385	0.9981937	0.009666432	0.01375591	0.9998587	3.88817875864406
63817692370088	 sample	DepthCalibration	1.29462366136874	-0.2191067	0.0765954	9.452777	0.03037981	-0.026	-0.03245892	-0.026	-0.05726425	0.001579795	0.9983578	0.01129427	0.01456701	0.9998301	3.84844728767223
63817692370088	 sample	DepthCalibration	1.29462366136874	-0.2191067	0.0765954	9.452777	0.03037981	-0.026	-0.03245892	-0.026	-0.05726425	0.001579795	0.9983578	0.01129427	0.01456701	0.9998301	3.84844728767223
63817692370104	 sample	DepthCalibration	1.29902190863772	-0.204833	0.07537705	9.225403	0.03037981	-0.026	-0.03245892	-0.026	-0.0561261	0.001308357	0.9984228	0.01210816	0.01497255	0.9998146	3.85086395017016
63817692370105	 sample	DepthCalibration	1.29902190863772	-0.204833	0.07537705	9.225403	0.03037981	-0.026	-0.03245892	-0.026	-0.0561261	0.001308357	0.9984228	0.01210816	0.01497255	0.9998146	3.85086395017016
63817692370265	 sample	DepthCalibration	1.3416555183058	-0.2154629	0.09025759	9.397106	0.03037981	-0.026	-0.03245892	-0.026	-0.05696696	0.002112183	0.9983738	0.01149865	0.01702687	0.9997889	4.15170319596467
63817692370265	 sample	DepthCalibration	1.3416555183058	-0.2154629	0.09025759	9.397106	0.03037981	-0.026	-0.03245892	-0.026	-0.05696696	0.002112183	0.9983738	0.01149865	0.01702687	0.9997889	4.15170319596467
63817692370285	 sample	DepthCalibration	1.34683755526081	-0.2234512	0.09565479	9.485611	0.03037981	-0.026	-0.03245892	-0.026	-0.05744857	0.002981241	0.998344	0.01072572	0.01711333	0.999796	5.75528806612303
63817692370285	 sample	DepthCalibration	1.34683755526081	-0.2234512	0.09565479	9.485611	0.03037981	-0.026	-0.03245892	-0.026	-0.05744857	0.002981241	0.998344	0.01072572	0.01711333	0.999796	5.75528806612303
63817692370290	 sample	DepthCalibration	1.34837790807282	-0.228457	0.09616632	9.546878	0.03037981	-0.026	-0.03245892	-0.026	-0.05780753	0.002916004	0.9983235	0.01033924	0.01715655	0.9997994	5.77051299448304
